"Product Name","Price","Rating"
"","",""
"Redmi Note 13 Pro (Arctic White, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge","24,999","3.8 out of 5 stars"
"Redmi Note 13 Pro+ (Fusion Purple, 8GB RAM, 256GB Storage) | World's first Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge","30,999","3.8 out of 5 stars"
"POCO C65 (Pastel Blue 4GB RAM 128GB Storage)","6,999","4.0 out of 5 stars"
"realme NARZO N63 (Twilight Purple,4GB RAM+128GB Storage) 45W Fast Charge | 5000mAh Durable Battery | 7.74mm Ultra Slim | 50MP AI Camera | AI Boost","8,998","4.1 out of 5 stars"
"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","8,499","4.1 out of 5 stars"
"","",""
"Redmi 13C (Starfrost White, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","8,499","4.1 out of 5 stars"
"realme NARZO 70x 5G (Forest Green, 8GB RAM,128GB Storage) | 120Hz Ultra Smooth Display | Dimensity 6100+ 6nm 5G | 50MP AI Camera | 45W Charger in The Box","14,998","4.0 out of 5 stars"
"Redmi 13C (Starshine Green, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,699","4.1 out of 5 stars"
"CMF BY NOTHING Phone 1 5G (128 GB) (6 GB RAM) (Blue)","15,998","3.0 out of 5 stars"
"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,699","4.1 out of 5 stars"
"Redmi 13C (Starshine Green, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,699","4.1 out of 5 stars"
"Samsung Galaxy M35 5G (DayBreak Blue,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| without Charger","19,999","5.0 out of 5 stars"
"Redmi 13 5G, Hawaiian Blue, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","13,999",""
"Samsung Galaxy M14 4G (Arctic Blue,4GB,64GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 8GB RAM with RAM Plus | without Charger","8,114","3.9 out of 5 stars"
"realme NARZO N63 (Leather Blue, 4GB RAM+128GB Storage) 45W Fast Charge | 5000mAh Durable Battery | 7.74mm Ultra Slim | 50MP AI Camera | AI Boost","8,998","4.1 out of 5 stars"
"Redmi 13 5g Black Diamond 6GB 128GB","13,999",""
"POCO C65 (Matte Black 4GB RAM 128GB Storage)","6,999","4.0 out of 5 stars"
"POCO M6 Pro 5G (Power Black, 4GB RAM, 128GB Storage)","9,499","3.8 out of 5 stars"
"realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box","12,998","4.0 out of 5 stars"
"POCO C65 (Pastel Green 4GB RAM 128GB Storage)","6,999","4.0 out of 5 stars"
"Lava O2 (Majestic Purple, 8GB RAM, UFS 2.2 128GB Storage) |AG Glass Back|T616 Octacore Processor|18W fast charging|6.5 inch 90Hz Punch Hole Display|50MP AI Dual Camera|Upto 16GB expandable RAM","7,999","3.7 out of 5 stars"
"Redmi 12 (Moonstone Silver,6GB RAM, 128GB Storage)","9,999","3.8 out of 5 stars"
"","",""
"","",""
"","",""
"","",""
